canonical_id,name,mapping_method,mapping_confidence,metadata_source_count
can_e41ec2b68e07,DANAU PAKU - SUMBER HADI,source_record_id,1.0,1
can_58dbf563cd1b,Pantai kerang mas ujung,source_record_id,1.0,1
can_8b11a2aeb1a0,Watu gedi,source_record_id,1.0,1
can_173d9bd63841,Wisata taman mbh jo,source_record_id,1.0,1
can_bfec6e506426,Jembatan Pelita Sumbersari Metro Selatan,source_record_id,1.0,1
can_4e9a0153df9c,Taman Ki Hajar Dewantara,source_record_id,1.0,1
can_f720fde0e364,Makam,source_record_id,1.0,1
can_b16862bda345,Pulau Pedang,source_record_id,1.0,1
can_09b986ad7cef,Curup Kereta,source_record_id,1.0,1
can_971ef616f035,Air Terjun KERETA,source_record_id,1.0,1
can_4e34966ef831,Bukit Kramat area tebu,source_record_id,1.0,1
can_32d3e55bc4d9,Pemandian Air Panas Jukuh Batu,source_record_id,1.0,1
can_0073d9414900,Embung Pakuan Sakti,source_record_id,1.0,1
can_121ff93e6ff6,Simpang sainal,source_record_id,1.0,1
can_067001992225,Kebun Sawit - Putra Benawa,source_record_id,1.0,1
can_5bfcf4361215,Kebun Sambudi,source_record_id,1.0,1
can_b3eb68df8df3,Olok Kuali,source_record_id,1.0,1
can_914202914e45,PERKEBUNAN PEBRI SUKSES,source_record_id,1.0,1
can_1864fa0869eb,Kebun elen,source_record_id,1.0,1
can_a0690d109e96,Embung Way Negara Harja II,source_record_id,1.0,1
can_fc56376f1ab8,TAMAN WISATA MT. BUKIT PUNGGUR,source_record_id,1.0,1
can_39fee54e923d,Bundaran FF,source_record_id,1.0,1
can_076831a1881b,Air Terjun Putera Senja,source_record_id,1.0,1
can_71fb507d13dc,Puncak Satu 7 Gunung Abung,source_record_id,1.0,1
can_f99e2e90304d,Air terjun bunut jaya,source_record_id,1.0,1
can_63edbda4acba,Arum jeram,source_record_id,1.0,1
can_eac17becc7cd,Taman wisata way tebabeng,source_record_id,1.0,1
can_684dc64e2007,Taman Sahabat Kotabumi,source_record_id,1.0,1
can_ac390b1e275a,TAMAN SRI TANJUNG,source_record_id,1.0,1
can_93a81890063f,Taman Wisata Way Rarem/Bendungan Way Rarem,source_record_id,1.0,1
can_0dede19da9e8,Tugu Payan Mas Kotabumi,source_record_id,1.0,1
can_248208cda700,Pantai keduk,source_record_id,1.0,1
can_de6fe5f67d19,Ladang Harry Plantations,source_record_id,1.0,1
can_d885ab730ff6,Kebon H. Dahlius Mufti,source_record_id,1.0,1
can_380cd068a4e4,Simpang rengas wisata,source_record_id,1.0,1
can_29ee2506c048,Pemancingan,source_record_id,1.0,1
can_c18a686e556c,Water Boom Monlee,source_record_id,1.0,1
can_a5ad28d20e8a,Kuil Ketapang II,source_record_id,1.0,1
can_03a8601a9bdd,Persawahan desa fajar Baru blok A,source_record_id,1.0,1
can_00e73f54493a,TUGU TAMAN HAYATI MEKARSARI,source_record_id,1.0,1
can_edaf183aa3c0,TAMAN RAGA DESA BUJUNG BURING,source_record_id,1.0,1
can_2a97b8804881,EMBUNG ALBARET,source_record_id,1.0,1
can_0a751637875a,Wisata kali kliwir,source_record_id,1.0,1
can_10fd29264b96,Bendungan Danau Asri,source_record_id,1.0,1
